CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0125', 0.9996682100889586)","('C0063', 0.9982592304498485)","('C0106', 0.9979496596452181)"
C0002,"('C0029', 0.9997068482550491)","('C0062', 0.9987776005665663)","('C0166', 0.998699681325713)"
C0003,"('C0075', 0.998731598604879)","('C0110', 0.9931645622444079)","('C0036', 0.9926814187713708)"
C0004,"('C0175', 0.9991876508394796)","('C0165', 0.9984434913312458)","('C0169', 0.997991545871393)"
C0005,"('C0112', 0.999520405397267)","('C0159', 0.9995202179359585)","('C0131', 0.9993811439772363)"
C0006,"('C0170', 0.9989884425797053)","('C0163', 0.9980175365428656)","('C0050', 0.9965939456443403)"
C0007,"('C0080', 0.9994021824291331)","('C0074', 0.9992279323167407)","('C0159', 0.9990559833946644)"
C0008,"('C0047', 0.9985100976458368)","('C0194', 0.9960128360274051)","('C0024', 0.9951368980919232)"
C0009,"('C0103', 0.9951732890322363)","('C0014', 0.9900004782420874)","('C0025', 0.98885120371466)"
C0010,"('C0134', 0.998801336349185)","('C0160', 0.9970686861496437)","('C0027', 0.9966635124891629)"
C0011,"('C0122', 0.999476653644304)","('C0107', 0.9994238776112156)","('C0153', 0.9988794883284347)"
C0012,"('C0065', 0.9996872235330286)","('C0057', 0.9993561319202272)","('C0028', 0.9984381016330353)"
C0013,"('C0059', 0.999906080335531)","('C0085', 0.9989533925327435)","('C0143', 0.9974003423701653)"
C0014,"('C0025', 0.9968919556173951)","('C0199', 0.9966433250916736)","('C0192', 0.9965602060680722)"
C0015,"('C0192', 0.9994610325751687)","('C0123', 0.9990482227587393)","('C0152', 0.9989465767433746)"
C0016,"('C0021', 0.9971286410634747)","('C0183', 0.996553126116912)","('C0022', 0.9957524022282774)"
C0017,"('C0190', 0.9984408197987747)","('C0036', 0.9983909379047516)","('C0081', 0.9981910134656699)"
C0018,"('C0028', 0.9965971643816574)","('C0138', 0.9946404568524218)","('C0143', 0.9941232080085864)"
C0019,"('C0161', 0.9991203205775979)","('C0088', 0.998961566687023)","('C0147', 0.9981196570361758)"
C0020,"('C0193', 0.9982423588952736)","('C0125', 0.9978791406475037)","('C0153', 0.9978296245418298)"
